Gene,Adipose...Subcutaneous,Adipose...Visceral..Omentum.,Adrenal.Gland,Artery...Aorta,Artery...Coronary,Artery...Tibial,Bladder,Brain...Amygdala,Brain...Anterior.cingulate.cortex..BA24.,Brain...Caudate..basal.ganglia.,Brain...Cerebellar.Hemisphere,Brain...Cerebellum,Brain...Cortex,Brain...Frontal.Cortex..BA9.,Brain...Hippocampus,Brain...Hypothalamus,Brain...Nucleus.accumbens..basal.ganglia.,Brain...Putamen..basal.ganglia.,Brain...Spinal.cord..cervical.c.1.,Brain...Substantia.nigra,Breast...Mammary.Tissue,Cells...Cultured.fibroblasts,Cells...EBV.transformed.lymphocytes,Cervix...Ectocervix,Cervix...Endocervix,Colon...Sigmoid,Colon...Transverse,Esophagus...Gastroesophageal.Junction,Esophagus...Mucosa,Esophagus...Muscularis,Fallopian.Tube,Heart...Atrial.Appendage,Heart...Left.Ventricle,Kidney...Cortex,Kidney...Medulla,Liver,Lung,Minor.Salivary.Gland,Muscle...Skeletal,Nerve...Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin...Not.Sun.Exposed..Suprapubic.,Skin...Sun.Exposed..Lower.leg.,Small.Intestine...Terminal.Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole.Blood,Class
ATAD3B,22.7052,22.8518,15.7156,20.9524,22.5789,19.6974,31.0634,8.06371,10.9202,8.86995,35.4561,37.9733,17.7711,13.3472,9.6439,12.3839,10.8605,8.09905,10.4537,8.93068,28.639,25.8964,30.277,42.5061,43.9616,24.0963,22.2998,21.4885,26.5634,20.5058,41.5471,9.78462,6.50418,17.8339,32.1831,14.0966,31.6409,22.0515,7.27664,35.7707,38.7988,12.4393,45.8617,41.2711,32.2586,32.8931,25.5053,35.5835,19.1429,41.0997,41.3408,39.1274,32.1054,8.0319,NotCR
PARK7,185.512,185.634,245.936,273.087,253.218,241.283,185.357,159.937,186.83,172.193,277.671,234.467,181.328,224.484,141.616,182.992,192.82,143.05,196.155,167.046,188.602,302.889,303.716,220.679,215.96,204.49,137.383,204.716,106.865,207.328,218.861,139.999,130.097,128.403,163.495,110.767,164.313,130.84,214.327,258.043,228.208,78.3723,250.513,211.129,93.6087,96.2719,121.727,144.996,128.713,150.152,237.637,207.219,153.047,61.4826,NotCR
SLC2A7,0.0,0.0263757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0446239,0.0397487,0.0243291,0.0204055,0.0104582,0.0,0.0,0.0143784,0.0,0.0248032,0.0,0.0,0.0,0.0,0.0308986,0.0355251,0.0,0.0,0.0468071,0.0,0.0,0.200036,0.0,0.0,0.578195,0.0993979,0.0,0.0,0.0,CR
SLC2A5,2.4064,2.03798,2.27441,1.17258,1.84558,0.515169,1.10545,4.02158,2.49303,3.49708,1.31748,1.34435,2.65213,2.45995,3.70297,4.72825,2.57158,2.59946,11.2355,5.69958,1.51261,0.494618,38.5326,1.36307,1.28906,2.62053,2.31685,0.489458,2.72663,0.57364,2.27253,0.563984,0.577564,2.74363,0.929612,0.125334,0.948199,1.29023,11.9727,4.40482,2.16975,0.144735,1.88514,7.31538,1.34683,1.29525,20.7916,4.45601,0.297034,46.4355,0.54064,1.03913,3.86755,1.45346,CR
MTOR,14.1347,12.5037,12.8676,16.0791,14.597,17.6186,15.9141,6.46825,8.96895,10.1389,25.9808,27.0759,13.8408,12.4918,6.60486,8.73557,8.85594,8.29794,7.37974,7.3352,14.5158,18.2491,17.3607,14.1631,15.8568,19.0087,13.3463,18.0637,13.0503,18.9537,16.2413,7.98448,7.55295,7.64268,11.1177,7.47069,15.2756,12.8679,15.0498,19.7788,14.1306,5.90858,17.6921,16.5626,12.948,13.219,15.2865,15.0441,11.4312,35.5128,19.0889,20.0622,13.7552,3.03492,CR
DHRS3,169.114,187.69,20.4082,118.828,79.9014,84.732,95.6279,21.5906,17.0991,26.2825,5.07379,6.90915,19.5256,17.7437,17.5965,16.8918,22.9617,20.7901,21.8954,21.3718,140.445,28.8599,3.09208,127.935,139.239,72.3878,53.0112,115.798,116.007,128.172,94.2406,47.4946,27.4217,64.4987,32.942,158.947,86.5364,77.2388,39.7049,263.003,53.6936,52.3254,64.5669,227.397,78.9553,89.5779,58.6174,34.3119,80.7365,34.5198,192.783,55.742,140.618,9.85597,NotCR
UQCRHL,4.26109,5.1587,2.98658,4.87979,4.99659,5.38501,5.47968,4.26862,5.94796,4.80883,12.3986,9.68039,5.71408,7.96507,4.04752,5.15674,5.73213,3.73892,3.84235,4.57082,4.67605,11.672,17.9671,6.10001,6.4579,5.88723,5.82449,4.8192,6.39897,4.68046,5.18878,9.05769,10.1963,4.32342,7.02894,2.16552,4.71553,4.66458,7.17992,4.79534,7.80809,1.89615,4.82161,4.90226,4.86522,4.75558,4.976,4.60615,4.22456,4.04605,5.1195,5.42209,5.81714,1.82283,NotCR
SDHB,83.8592,81.7291,104.82,94.2728,90.7998,104.187,84.226,46.6468,58.2863,52.2215,96.7259,83.9014,64.6546,77.9711,44.0469,51.7652,56.6536,45.3735,61.4575,53.3442,81.7651,117.26,144.514,71.0604,72.8107,90.0647,104.154,90.0633,82.9173,93.258,83.6811,122.813,168.243,95.1223,104.519,124.93,81.1531,67.7655,177.639,94.163,61.0341,37.6777,60.6042,54.9552,65.7119,68.5217,88.202,74.8022,87.4159,91.0406,75.6008,84.7228,73.5014,52.7293,NotCR
ALDH4A1,30.9579,25.9171,20.4293,17.6147,22.6468,24.2557,20.9001,51.1524,56.3962,56.6534,13.9368,17.3035,61.3765,57.2807,29.5025,27.7762,45.1466,58.397,11.3665,51.1266,22.8336,12.121,10.6606,13.6566,15.7103,11.7154,8.05921,18.9936,49.5789,21.2099,17.6345,16.6624,16.4853,150.575,50.4136,268.216,12.2394,10.4698,41.3836,22.5197,14.2574,2.81042,17.758,39.029,23.5563,20.3373,6.69366,11.7016,14.7317,6.93626,15.2702,19.2952,30.8258,3.40818,CR
KIF17,4.84639,3.98997,11.8704,0.643805,1.5497,0.980339,1.76428,4.09203,7.61156,5.55871,0.35518,0.457809,13.3675,13.3278,3.54168,5.4139,7.8027,3.6483,0.766349,1.15788,3.65597,0.529206,0.0454029,2.84792,2.71596,1.21685,0.768863,1.49776,0.482502,1.70409,3.21197,1.52477,1.63536,1.85538,2.0368,0.540149,5.28098,0.677867,0.78779,1.94798,1.39738,0.214287,1.99546,1.87565,0.929908,1.13171,1.12228,22.339,0.695184,66.0532,4.36983,3.27254,1.78964,0.0568659,NotCR
