Gene,Degree,Betweenness,Closeness,EigenCentrality,Eccentricity,ClosenessLatora,ClosenessResidual,Decay,Geokpath,Laplacian,Leverage,Lobby,Mnc,Semilocal,Topocoefficient,Kcore,ClusteringCoefficient,CrRatio,Class
MTOR,59,696158.9818,1.45E-08,0.065385098,0.066666667,6190.624389,1930.03418,2720,9270,8862,0.3679957,28,45,3406792,35.92563231,17,0.049678551,0.06779661,CR
ZMPSTE24,9,15161.14192,1.45E-08,0.023567448,0.0625,5572.692983,1519.13884,2859,5381,5790,-0.9288128,9,5,2986462,3.617709065,9,0.111111111,0,NotCR
KC3,7,115685.7444,1.45E-08,0.002966917,0.0625,5114.411441,1197.278809,137,3233,316,-0.078065017,5,4,145287,6.448818898,4,0.142857143,0.285714286,CR
SHC1,72,376452.3309,1.45E-08,0.084407317,0.066666667,6310.189,2020.96582,3269,10569,11650,0.433332157,29,61,4337021,38.1920904,17,0.077464789,0.027777778,NotCR
LM,119,926517.6838,1.45E-08,0.214652171,0.066666667,6730.353166,2314.081421,6371,11954,26784,0.537785298,41,82,8911339,56.19922817,18,0.033328586,0.008403361,NotCR
PARP1,107,777098.343,1.45E-08,0.225752838,0.071428571,6729.342216,2305.162231,6658,12113,24658,0.464668807,39,92,9655737,44.83981028,18,0.061188503,0.028037383,NotCR
SIRT1,95,453263.2342,1.45E-08,0.194974466,0.071428571,6494.588872,2140.11261,5608,10475,20146,0.408373509,41,81,8262223,42.93219415,18,0.061590146,0.042105263,CR
PLAU,4,34849.81128,1.45E-08,0.001036758,0.0625,4684.971058,926.3987274,176,920,364,0.030812325,3,1,148403,4,2,0,0,NotCR
PTEN,97,512254.5102,1.45E-08,0.263634813,0.066666667,6563.648868,2202.034698,4886,11839,19084,0.47549169,40,67,6944915,46.45156545,18,0.04080756,0.020618557,NotCR
HELLS,12,26876.8876,1.45E-08,0.053329981,0.066666667,5880.571343,1718.946747,1636,7665,3404,-0.428104506,12,6,2328166,8.410383189,9,0.196969697,0.166666667,NotCR
ARNTL,17,45312.76971,1.45E-08,0.025366454,0.066666667,5660.212865,1559.001678,867,6348,2006,-0.253631838,15,12,1093507,13.09704142,11,0.132352941,0.058823529,NotCR
CAT,14,70954.85113,1.45E-08,0.009259749,0.0625,5490.364463,1447.330872,335,5736,852,0.185100628,7,7,411510,12.49367089,6,0.076923077,0,NotCR
