fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
1.25%;0.4627;0.6802;0.7494;0.5291;0.4664;0.5982;0.513
2.5%;0.4793;0.7377;0.792;0.5557;0.4945;0.6123;0.544
5%;0.4687094963194026;0.7394032860573592;0.8034473852949559;0.5441622422712211;0.5054545454545455;0.6100524265871795;0.556
10%;0.45882733164629774;0.7570544363467916;0.8176122708273962;0.5596799063738918;0.5172727272727273;0.6283117450524844;0.569
20%;0.451808223238506;0.7664025642760625;0.829731226845255;0.5588430557762674;0.5236363636363637;0.6277198281794402;0.576
25%;0.4527;0.7718;0.8312;0.5535;0.5218;0.6206;0.574
37.5%;0.45536225537834135;0.7765939937137378;0.8376386909850859;0.5557080462663042;0.5199999999999999;0.6195793302385015;0.5719999999999998
40%;0.4560555710837343;0.7778568777799871;0.8378830626009309;0.5593690951877914;0.5209090909090909;0.6225103337979212;0.573
42.5%;0.4532;0.7772;0.8403;0.561;0.5127;0.6169;0.564
45%;0.4568;0.7774;0.8408;0.561;0.5127;0.6169;0.564
50%;0.4550;0.7786;0.8371;0.5492;0.5100;0.6108;0.561
60%;0.45469773314213996;0.7710309397067735;0.8306703001804884;0.5391670129422144;0.51;0.6030134399809095;0.561
80%;0.45675342008210873;0.7737426558729612;0.8269962952408093;0.5621851250788267;0.5172727272727273;0.6268514541332857;0.569
100%;0.4761;0.771;0.8268;0.5626;0.5245;0.6342;0.577
