fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.5069691723008977;0.7221258965198866;0.806224173553719;0.5625434485982164;0.5045454545454545;0.6390340097524781;0.555
10%;0.5166189546916893;0.7261071782319085;0.8155849244799089;0.5777642145600165;0.5190909090909092;0.6571970858466254;0.571
12.5%;0.5156;0.7240;0.8106;0.5707;0.5073;0.6473;0.558
15%;0.5211;0.7314;0.8115;0.5809;0.5045;0.6507;0.555
17.5%;0.5222;0.7315;0.8280;0.5883;0.5182;0.6579;0.57
20%;0.5173964728307521;0.7273645790919185;0.8270598223615465;0.5863350755348459;0.5145454545454545;0.6549560715701721;0.566
37.5%;0.5182;0.7266;0.8287;0.5811;0.5045;0.6444;0.555
40%;0.5220149678709967;0.7305318295647081;0.8262579557328774;0.5796054561905245;0.49909090909090903;0.6406868261440545;0.549
42.5%;0.5226;0.7313;0.8263;0.5796;0.4991;0.6407;0.549
45%;0.5230;0.7313;0.8263;0.5796;0.5009;0.6397;0.551
60%;0.5129037085022947;0.719232276445657;0.8297650683955542;0.5775054789637823;0.5063636363636363;0.6437104444099105;0.557
75%;0.5160;0.7158;0.8293;0.5793;0.5100;0.6475;0.561
80%;0.5128583775115051;0.7129091441018096;0.8303434026788258;0.5772505967625475;0.5081818181818181;0.6439414473041384;0.559
100%;0.50451;0.70237;0.81262;0.55715;0.49091;0.62806;0.54
